filename,label,original,split
jrvjswdnbj.mp4,FAKE,train,ehtdtkmmli.mp4
atyntldecu.mp4,FAKE,train,mfzqxktxud.mp4
kwaktkfdxu.mp4,FAKE,train,zrkinjhsuq.mp4
vybgpmtpwx.mp4,FAKE,train,lyvlnqduqg.mp4
knsdcdsuts.mp4,FAKE,train,bffwsjxghk.mp4
xaaiaxqcbg.mp4,FAKE,train,jmuwcxvbur.mp4
sresxnmbxr.mp4,FAKE,train,aytzyidmgs.mp4
qnepdvqrrp.mp4,FAKE,train,yxyhvdlrgk.mp4
fjxwwpcgcu.mp4,FAKE,train,luvasmspox.mp4
hndtvhozhq.mp4,FAKE,train,ezaajaswoe.mp4
ejkqesyvam.mp4,FAKE,train,jwcsqxzdlv.mp4
vhzsdmwdmk.mp4,FAKE,train,iieoqptzec.mp4
vmwwvzervm.mp4,FAKE,train,kysxawkest.mp4
dnexlwbcxq.mp4,FAKE,train,ezaajaswoe.mp4
mnpvjvoxzj.mp4,FAKE,train,fgfyrfyqay.mp4
pjlpcxmgyj.mp4,FAKE,train,qzklcjjxdq.mp4
bpwzipqtxf.mp4,FAKE,train,lmlyvmfbbe.mp4
svcyfvpoxo.mp4,REAL,train,
fhsqiidxjf.mp4,FAKE,train,mhhxsljvfx.mp4
wllwqcbhvg.mp4,FAKE,train,qhkqqfznrg.mp4
sxxvubkavd.mp4,FAKE,train,tivkmbqgwp.mp4
axwgcsyphv.mp4,FAKE,train,mfnowqfdwl.mp4
tzhgzykjri.mp4,FAKE,train,kysxawkest.mp4
jwcsqxzdlv.mp4,REAL,train,
lgityhcczl.mp4,FAKE,train,kysxawkest.mp4
lftoneujss.mp4,FAKE,train,rjlgchzmfv.mp4
ojnidsttay.mp4,FAKE,train,qzklcjjxdq.mp4
esyhwdfnxs.mp4,FAKE,train,qeumxirsme.mp4
owjyagavce.mp4,FAKE,train,zgzpeqtqen.mp4
slwmoicemq.mp4,FAKE,train,xxrzzncksa.mp4
nmaitpztva.mp4,FAKE,train,ehtdtkmmli.mp4
xrtzmjrnvm.mp4,FAKE,train,rjlgchzmfv.mp4
hilfujwfey.mp4,FAKE,train,kysxawkest.mp4
rictcemrzk.mp4,FAKE,train,kysxawkest.mp4
jjpvymtfyz.mp4,FAKE,train,lmlyvmfbbe.mp4
qhhjjzwvkt.mp4,FAKE,train,iufotyxgzb.mp4
mzinpazyck.mp4,FAKE,train,salqxytmaf.mp4
gnyspcpbhd.mp4,REAL,train,
hmadnxwzlo.mp4,FAKE,train,zvvokzxzgj.mp4
ypwvtnpygr.mp4,FAKE,train,xzvrgckqkz.mp4
ijkmnnlncj.mp4,FAKE,train,mfnowqfdwl.mp4
dqppxmoqdl.mp4,FAKE,train,zrkinjhsuq.mp4
hlxpllstdk.mp4,FAKE,train,lyvlnqduqg.mp4
dbhoxkblzx.mp4,FAKE,train,qtnjyomzwo.mp4
wdisiugwzf.mp4,FAKE,train,zgzpeqtqen.mp4
honlaxtvxq.mp4,FAKE,train,iufotyxgzb.mp4
pkbcflrzqb.mp4,FAKE,train,zhfyuhonra.mp4
ugpufkleno.mp4,REAL,train,
hwxljxqzsg.mp4,FAKE,train,lyvlnqduqg.mp4
ufgnkssdme.mp4,FAKE,train,gjypopglvi.mp4
gsedznpphd.mp4,FAKE,train,mfnowqfdwl.mp4
jhamstcxmf.mp4,FAKE,train,youicxhpxh.mp4
brvqtabyxj.mp4,FAKE,train,ywvlvpvroj.mp4
fgtpeerbfc.mp4,FAKE,train,youicxhpxh.mp4
cknyxaqouy.mp4,FAKE,train,bwipwzzxxu.mp4
nqxmyhuacv.mp4,FAKE,train,gjypopglvi.mp4
utzfjwgwqv.mp4,FAKE,train,lyvlnqduqg.mp4
adhsbajydo.mp4,FAKE,train,fysyrqfguw.mp4
azsmewqghg.mp4,FAKE,train,djxdyjopjd.mp4
hzstrkmhvx.mp4,FAKE,train,zvvokzxzgj.mp4
znjupdqnwo.mp4,REAL,train,
jrckljmonu.mp4,FAKE,train,kuelhabsmz.mp4
poaehtdkhm.mp4,FAKE,train,ezaajaswoe.mp4
acifjvzvpm.mp4,FAKE,train,kbvibjhfzo.mp4
judsnxbvol.mp4,FAKE,train,zgzpeqtqen.mp4
lqehaglolf.mp4,FAKE,train,mhhxsljvfx.mp4
mdfblwjagl.mp4,FAKE,train,mfnowqfdwl.mp4
ueyaftmaci.mp4,FAKE,train,gnyspcpbhd.mp4
ebebgmtlcu.mp4,FAKE,train,iufotyxgzb.mp4
bwuwstvsbw.mp4,FAKE,train,xzvrgckqkz.mp4
aklqzsddfl.mp4,FAKE,train,lyvlnqduqg.mp4
eoewqcpbgt.mp4,FAKE,train,gbqrgajyca.mp4
xtpeiaipyn.mp4,FAKE,train,kkzsnmrkqk.mp4
msyeslrxir.mp4,FAKE,train,tivkmbqgwp.mp4
zuporxcref.mp4,FAKE,train,qzklcjjxdq.mp4
pigwgqjdfc.mp4,FAKE,train,kysxawkest.mp4
lljtmxybum.mp4,FAKE,train,gktjowiuqe.mp4
meawmsgiti.mp4,REAL,train,
btugrnoton.mp4,FAKE,train,kgbkktcjxf.mp4
lmlyvmfbbe.mp4,REAL,train,
xqzdabdmdt.mp4,FAKE,train,gktjowiuqe.mp4
fkcvweykwa.mp4,FAKE,train,ugpufkleno.mp4
kwgcxdnvdj.mp4,FAKE,train,jmuwcxvbur.mp4
wpjxtpkesn.mp4,FAKE,train,wgmbcqfgkp.mp4
aipfdnwpoo.mp4,FAKE,train,ygdgwyqyut.mp4
cyclgfjdrv.mp4,FAKE,train,gbqrgajyca.mp4
ewrpdzlzkb.mp4,FAKE,train,ygdgwyqyut.mp4
arlmiizoob.mp4,FAKE,train,meawmsgiti.mp4
eprybmbpba.mp4,FAKE,train,kuelhabsmz.mp4
yccxkjdwcp.mp4,FAKE,train,kbvibjhfzo.mp4
rnmhadeflp.mp4,FAKE,train,meawmsgiti.mp4
ubxxfhlgtm.mp4,FAKE,train,cprhtltsjp.mp4
bweezhfpzp.mp4,FAKE,train,ywvlvpvroj.mp4
gnqobbqrns.mp4,FAKE,train,jwcsqxzdlv.mp4
logjpgwpny.mp4,FAKE,train,wgmbcqfgkp.mp4
vswpbluebi.mp4,FAKE,train,qzklcjjxdq.mp4
bbhpvrmbse.mp4,FAKE,train,imzqmbfugn.mp4
uncisftbyl.mp4,FAKE,train,qzklcjjxdq.mp4
qcwguuumkb.mp4,FAKE,train,qhkqqfznrg.mp4
lmhqzoxodk.mp4,FAKE,train,vgqotmftcr.mp4
ebkzwjgjhq.mp4,FAKE,train,kgbkktcjxf.mp4
pduddvgwes.mp4,FAKE,train,agrmhtjdlk.mp4
hxperjvebs.mp4,FAKE,train,klllapfmgd.mp4
cwqlvzefpg.mp4,FAKE,train,qeumxirsme.mp4
gnpitlpfpw.mp4,FAKE,train,lyvlnqduqg.mp4
rfsivygfhh.mp4,FAKE,train,dzyuwjkjui.mp4
msbnbprtqw.mp4,FAKE,train,znjupdqnwo.mp4
owwlwixovi.mp4,FAKE,train,zvvokzxzgj.mp4
rzbyomxwhd.mp4,FAKE,train,kysxawkest.mp4
kvbnrdcrkn.mp4,FAKE,train,rjlgchzmfv.mp4
kdyarrovgo.mp4,FAKE,train,kuelhabsmz.mp4
mbzybpgnfr.mp4,FAKE,train,itmwoyxbas.mp4
hbvrjxapdv.mp4,FAKE,train,ciyoudyhly.mp4
sltqsbwufk.mp4,FAKE,train,gbqrgajyca.mp4
vewjmlbtfc.mp4,FAKE,train,qhkqqfznrg.mp4
umjfxbtnya.mp4,REAL,train,
mnitdyuati.mp4,FAKE,train,kuelhabsmz.mp4
xpjkanztms.mp4,FAKE,train,fysyrqfguw.mp4
gpuycezsfz.mp4,FAKE,train,jmuwcxvbur.mp4
klllapfmgd.mp4,REAL,train,
